Statistics Summary
G-97,Team 08,5,1,4,3.98,5
G-97,Team 09,5,2,3,4.14,5
G-97,Team 10,5,2,3,4.03,5

Overall Statistics for G-97
Total Students,50
Total Males,16
Total Females,34
Average GPA,4.08
Min GPA,3.98
Max GPA,4.14
Average GPA Deviation,0.045

G-98,Team 01,5,3,2,4.07,5
G-98,Team 02,5,3,2,4.02,5
G-98,Team 03,5,3,2,4.03,5
G-98,Team 04,5,3,2,4.09,5
G-98,Team 05,5,3,2,4.13,5
G-98,Team 06,5,3,2,4.08,5
G-98,Team 07,5,3,2,4.14,5
G-98,Team 08,5,3,2,4.06,5
G-98,Team 09,5,3,2,4.07,4
G-98,Team 10,5,2,3,4.16,4

Overall Statistics for G-98
Total Students,50
Total Males,29
Total Females,21
Average GPA,4.09
Min GPA,4.02
Max GPA,4.16
Average GPA Deviation,0.035

G-99,Team 01,5,3,2,4.01,5
G-99,Team 02,5,2,3,4.04,5
G-99,Team 03,5,2,3,4.06,5
G-99,Team 04,5,2,3,4.07,5
G-99,Team 05,5,2,3,3.99,5
G-99,Team 06,5,2,3,4.12,4
G-99,Team 07,5,2,3,4.12,5
G-99,Team 08,5,2,3,4.09,5
G-99,Team 09,5,2,3,4.10,5
G-99,Team 10,5,2,3,4.04,5

Overall Statistics for G-99
Total Students,50
Total Males,21
Total Females,29
Average GPA,4.06
Min GPA,3.99
Max GPA,4.12
Average GPA Deviation,0.035

G-100,Team 01,5,3,2,4.10,5
G-100,Team 02,5,3,2,4.09,5
G-100,Team 03,5,2,3,4.10,5
G-100,Team 04,5,2,3,4.07,5
G-100,Team 05,5,2,3,4.05,4
G-100,Team 06,5,2,3,4.10,5
G-100,Team 07,5,2,3,4.09,5
G-100,Team 08,5,2,3,4.23,5
G-100,Team 09,5,2,3,4.05,5
G-100,Team 10,5,2,3,4.06,5

Overall Statistics for G-100
Total Students,50
Total Males,22
Total Females,28
Average GPA,4.09
Min GPA,4.05
Max GPA,4.23
Average GPA Deviation,0.030

G-101,Team 01,5,3,2,4.06,5
G-101,Team 02,5,3,2,4.12,5
G-101,Team 03,5,3,2,4.13,5
G-101,Team 04,5,3,2,4.16,5
G-101,Team 05,5,3,2,4.07,2
G-101,Team 06,5,2,3,4.02,5
G-101,Team 07,5,2,3,4.22,5
G-101,Team 08,5,2,3,4.14,5
G-101,Team 09,5,2,3,4.08,5
G-101,Team 10,5,2,3,4.08,5

Overall Statistics for G-101
Total Students,50
Total Males,25
Total Females,25
Average GPA,4.11
Min GPA,4.02
Max GPA,4.22
Average GPA Deviation,0.047

G-102,Team 01,5,3,2,4.10,5
G-102,Team 02,5,3,2,4.09,5
G-102,Team 03,5,2,3,4.08,5
G-102,Team 04,5,2,3,4.20,4
G-102,Team 05,5,2,3,4.06,5
G-102,Team 06,5,2,3,4.09,5
G-102,Team 07,5,2,3,4.13,5
G-102,Team 08,5,2,3,4.09,4
G-102,Team 09,5,2,3,4.08,5
G-102,Team 10,5,2,3,4.09,5

Overall Statistics for G-102
Total Students,50
Total Males,22
Total Females,28
Average GPA,4.10
Min GPA,4.06
Max GPA,4.20
Average GPA Deviation,0.026

G-103,Team 01,5,3,2,4.13,5
G-103,Team 02,5,3,2,4.03,5
G-103,Team 03,5,3,2,4.16,5
G-103,Team 04,5,3,2,4.08,5
G-103,Team 05,5,3,2,4.12,5
G-103,Team 06,5,2,3,4.10,5
G-103,Team 07,5,2,3,4.10,4
G-103,Team 08,5,2,3,4.20,5
G-103,Team 09,5,2,3,4.10,5
G-103,Team 10,5,2,3,4.02,5

Overall Statistics for G-103
Total Students,50
Total Males,25
Total Females,25
Average GPA,4.10
Min GPA,4.02
Max GPA,4.20
Average GPA Deviation,0.039

G-104,Team 01,5,2,3,4.08,4
G-104,Team 02,5,2,3,4.04,5
G-104,Team 03,5,2,3,4.13,5
G-104,Team 04,5,2,3,4.10,4
G-104,Team 05,5,2,3,4.02,4
G-104,Team 06,5,2,3,4.06,4
G-104,Team 07,5,2,3,4.05,5
G-104,Team 08,5,2,3,4.07,4
G-104,Team 09,5,2,3,4.11,5
G-104,Team 10,5,2,3,4.03,5

Overall Statistics for G-104
Total Students,50
Total Males,20
Total Females,30
Average GPA,4.07
Min GPA,4.02
Max GPA,4.13
Average GPA Deviation,0.030

G-105,Team 01,5,3,2,4.15,5
G-105,Team 02,5,3,2,4.11,5
G-105,Team 03,5,3,2,4.17,5
G-105,Team 04,5,3,2,4.16,5
G-105,Team 05,5,2,3,4.07,5
G-105,Team 06,5,2,3,3.93,5
G-105,Team 07,5,2,3,4.09,5
G-105,Team 08,5,2,3,4.14,5
G-105,Team 09,5,2,3,4.06,5
G-105,Team 10,5,2,3,4.05,5

Overall Statistics for G-105
Total Students,50
Total Males,24
Total Females,26
Average GPA,4.09
Min GPA,3.93
Max GPA,4.17
Average GPA Deviation,0.052

G-106,Team 01,5,3,2,4.05,4
G-106,Team 02,5,3,2,4.09,5
G-106,Team 03,5,3,2,4.04,5
G-106,Team 04,5,3,2,4.05,5
G-106,Team 05,5,2,3,4.09,5
G-106,Team 06,5,2,3,4.10,4
G-106,Team 07,5,2,3,4.07,5
G-106,Team 08,5,2,3,4.16,4
G-106,Team 09,5,2,3,4.17,5
G-106,Team 10,5,2,3,4.01,5

Overall Statistics for G-106
Total Students,50
Total Males,24
Total Females,26
Average GPA,4.08
Min GPA,4.01
Max GPA,4.17
Average GPA Deviation,0.039

G-107,Team 01,5,2,3,4.07,4
G-107,Team 02,5,2,3,4.06,5
G-107,Team 03,5,2,3,4.07,5
G-107,Team 04,5,2,3,4.06,4
G-107,Team 05,5,2,3,4.06,5
G-107,Team 06,5,2,3,4.04,5
G-107,Team 07,5,2,3,4.09,4
G-107,Team 08,5,2,3,4.02,3
G-107,Team 09,5,2,3,4.13,4
G-107,Team 10,5,1,4,4.06,5

Overall Statistics for G-107
Total Students,50
Total Males,19
Total Females,31
Average GPA,4.07
Min GPA,4.02
Max GPA,4.13
Average GPA Deviation,0.019

G-108,Team 01,5,3,2,4.11,5
G-108,Team 02,5,3,2,4.15,5
G-108,Team 03,5,3,2,4.05,5
G-108,Team 04,5,3,2,4.17,5
G-108,Team 05,5,3,2,4.13,5
G-108,Team 06,5,2,3,3.95,4
G-108,Team 07,5,2,3,4.04,5
G-108,Team 08,5,2,3,4.18,4
G-108,Team 09,5,2,3,4.02,5
G-108,Team 10,5,2,3,4.03,5

Overall Statistics for G-108
Total Students,50
Total Males,25
Total Females,25
Average GPA,4.08
Min GPA,3.95
Max GPA,4.18
Average GPA Deviation,0.066

G-109,Team 01,5,2,3,4.09,5
G-109,Team 02,5,2,3,4.11,4
G-109,Team 03,5,2,3,4.05,5
G-109,Team 04,5,2,3,3.99,5
G-109,Team 05,5,2,3,4.13,5
G-109,Team 06,5,2,3,4.14,5
G-109,Team 07,5,2,3,4.10,4
G-109,Team 08,5,2,3,4.07,5
G-109,Team 09,5,2,3,4.08,5
G-109,Team 10,5,2,3,4.09,4

Overall Statistics for G-109
Total Students,50
Total Males,20
Total Females,30
Average GPA,4.08
Min GPA,3.99
Max GPA,4.14
Average GPA Deviation,0.030

G-110,Team 01,5,2,3,4.09,5
G-110,Team 02,5,2,3,4.06,5
G-110,Team 03,5,2,3,4.08,4
G-110,Team 04,5,2,3,4.07,5
G-110,Team 05,5,2,3,4.02,4
G-110,Team 06,5,2,3,4.08,5
G-110,Team 07,5,2,3,4.08,5
G-110,Team 08,5,2,3,4.10,5
G-110,Team 09,5,2,3,4.08,5
G-110,Team 10,5,2,3,4.12,5

Overall Statistics for G-110
Total Students,50
Total Males,20
Total Females,30
Average GPA,4.08
Min GPA,4.02
Max GPA,4.12
Average GPA Deviation,0.017

G-111,Team 01,5,3,2,4.10,5
G-111,Team 02,5,3,2,4.08,5
G-111,Team 03,5,3,2,4.04,5
G-111,Team 04,5,3,2,4.07,5
G-111,Team 05,5,3,2,4.10,4
G-111,Team 06,5,3,2,4.04,4
G-111,Team 07,5,3,2,4.05,3
G-111,Team 08,5,2,3,4.11,5
G-111,Team 09,5,2,3,4.19,5
G-111,Team 10,5,2,3,4.10,5

Overall Statistics for G-111
Total Students,50
Total Males,27
Total Females,23
Average GPA,4.09
Min GPA,4.04
Max GPA,4.19
Average GPA Deviation,0.034

G-112,Team 01,5,2,3,4.07,4
G-112,Team 02,5,2,3,4.13,4
G-112,Team 03,5,2,3,4.09,5
G-112,Team 04,5,2,3,4.10,5
G-112,Team 05,5,2,3,4.08,5
G-112,Team 06,5,2,3,4.12,5
G-112,Team 07,5,2,3,4.04,5
G-112,Team 08,5,2,3,4.19,5
G-112,Team 09,5,2,3,4.04,4
G-112,Team 10,5,2,3,4.19,5

Overall Statistics for G-112
Total Students,50
Total Males,20
Total Females,30
Average GPA,4.11
Min GPA,4.04
Max GPA,4.19
Average GPA Deviation,0.042

G-113,Team 01,5,3,2,3.96,5
G-113,Team 02,5,3,2,4.00,5
G-113,Team 03,5,2,3,4.01,5
G-113,Team 04,5,2,3,4.13,5
G-113,Team 05,5,2,3,4.08,5
G-113,Team 06,5,2,3,4.04,5
G-113,Team 07,5,2,3,4.06,4
G-113,Team 08,5,2,3,4.05,4
G-113,Team 09,5,2,3,4.14,5
G-113,Team 10,5,2,3,4.07,5

Overall Statistics for G-113
Total Students,50
Total Males,22
Total Females,28
Average GPA,4.05
Min GPA,3.96
Max GPA,4.14
Average GPA Deviation,0.041

G-114,Team 01,5,2,3,4.09,5
G-114,Team 02,5,2,3,4.14,5
G-114,Team 03,5,1,4,4.06,5
G-114,Team 04,5,2,3,4.05,5
G-114,Team 05,5,1,4,4.07,4
G-114,Team 06,5,2,3,4.03,5
G-114,Team 07,5,1,4,4.08,5
G-114,Team 08,5,2,3,4.20,5
G-114,Team 09,5,2,3,4.01,5
G-114,Team 10,5,2,3,4.18,5

Overall Statistics for G-114
Total Students,50
Total Males,17
Total Females,33
Average GPA,4.09
Min GPA,4.01
Max GPA,4.20
Average GPA Deviation,0.049

G-115,Team 01,5,3,2,4.11,5
G-115,Team 02,5,3,2,4.08,5
G-115,Team 03,5,3,2,4.08,5
G-115,Team 04,5,2,3,4.04,4
G-115,Team 05,5,2,3,4.13,4
G-115,Team 06,5,2,3,4.09,5
G-115,Team 07,5,2,3,4.07,5
G-115,Team 08,5,2,3,4.10,5
G-115,Team 09,5,2,3,4.14,5
G-115,Team 10,5,2,3,4.11,5

Overall Statistics for G-115
Total Students,50
Total Males,23
Total Females,27
Average GPA,4.09
Min GPA,4.04
Max GPA,4.14
Average GPA Deviation,0.022

G-116,Team 01,5,3,2,4.12,5
G-116,Team 02,5,3,2,4.06,5
G-116,Team 03,5,3,2,4.04,5
G-116,Team 04,5,3,2,4.05,5
G-116,Team 05,5,3,2,4.09,4
G-116,Team 06,5,3,2,4.20,4
G-116,Team 07,5,2,3,4.21,5
G-116,Team 08,5,2,3,4.07,5
G-116,Team 09,5,2,3,4.09,5
G-116,Team 10,5,2,3,4.06,5

Overall Statistics for G-116
Total Students,50
Total Males,26
Total Females,24
Average GPA,4.10
Min GPA,4.04
Max GPA,4.21
Average GPA Deviation,0.045

G-117,Team 01,5,2,3,4.11,4
G-117,Team 02,5,2,3,4.06,5
G-117,Team 03,5,2,3,4.07,5
G-117,Team 04,5,2,3,4.28,5
G-117,Team 05,5,2,3,4.17,5
G-117,Team 06,5,2,3,4.03,5
G-117,Team 07,5,2,3,4.03,5
G-117,Team 08,5,2,3,4.10,5
G-117,Team 09,5,2,3,4.11,5
G-117,Team 10,5,2,3,4.12,5

Overall Statistics for G-117
Total Students,50
Total Males,20
Total Females,30
Average GPA,4.11
Min GPA,4.03
Max GPA,4.28
Average GPA Deviation,0.051

G-118,Team 01,5,3,2,4.14,5
G-118,Team 02,5,3,2,4.05,5
G-118,Team 03,5,3,2,4.11,5
G-118,Team 04,5,3,2,4.08,5
G-118,Team 05,5,3,2,4.17,4
G-118,Team 06,5,3,2,4.14,4
G-118,Team 07,5,3,2,4.04,5
G-118,Team 08,5,3,2,4.07,5
G-118,Team 09,5,3,2,4.17,5
G-118,Team 10,5,2,3,4.10,5

Overall Statistics for G-118
Total Students,50
Total Males,29
Total Females,21
Average GPA,4.11
Min GPA,4.04
Max GPA,4.17
Average GPA Deviation,0.038

G-119,Team 01,5,3,2,4.08,5
G-119,Team 02,5,3,2,4.06,5
G-119,Team 03,5,2,3,4.16,5
G-119,Team 04,5,2,3,4.11,4
G-119,Team 05,5,2,3,4.11,5
G-119,Team 06,5,2,3,4.00,5
G-119,Team 07,5,2,3,4.08,5
G-119,Team 08,5,2,3,4.15,5
G-119,Team 09,5,2,3,4.07,5
G-119,Team 10,5,2,3,4.16,5

Overall Statistics for G-119
Total Students,50
Total Males,22
Total Females,28
Average GPA,4.10
Min GPA,4.00
Max GPA,4.16
Average GPA Deviation,0.040

G-120,Team 01,5,3,2,4.11,5
G-120,Team 02,5,3,2,4.13,5
G-120,Team 03,5,3,2,4.05,5
G-120,Team 04,5,3,2,4.18,5
G-120,Team 05,5,3,2,4.19,4
G-120,Team 06,5,3,2,4.15,4
G-120,Team 07,5,3,2,4.20,5
G-120,Team 08,5,2,3,4.09,5
G-120,Team 09,5,2,3,4.06,5
G-120,Team 10,5,2,3,4.04,5

Overall Statistics for G-120
Total Students,50
Total Males,27
Total Females,23
Average GPA,4.12
Min GPA,4.04
Max GPA,4.20
Average GPA Deviation,0.048

